Time  Temperature  Salinity  Oxygen  pH     
0314  13.107       33.6023   268.80  8.113  
0329  13.186       33.5759   268.00  8.112  
0345  13.140       33.4620   267.68  8.111  
0400  13.433       33.5207   266.73  8.107  
0415  13.434       33.5464   267.33  8.107  
0430  13.756       33.5817   266.37  8.105  
0444  13.804       33.5409   265.88  8.104  
0459  13.554       33.5113   264.70  8.107  
0515  13.588       33.5597   265.36  8.105  
0530  13.682       33.5707   264.03  8.103  
0545  13.744       33.5313   264.92  8.101  
0600  13.766       33.5355   265.30  8.100  
0614  13.864       33.5630   266.16  8.103  
0629  13.866       33.5323   266.43  8.104  
0645  14.030       33.5315   266.21  8.100  
0700  13.841       33.6072   266.47  8.104  
0715  13.811       33.5155   266.83  8.104  
0730  13.943       33.5061   267.10  8.097  
0744  13.784       33.5894   266.51  8.100  
0759  13.968       33.5450   265.92  8.097  
0815  13.894       33.5441   266.24  8.101  
0830  13.686       33.5226   266.22  8.101  
0845  13.581       33.5813   267.12  8.100  
0900  13.631       33.5622   267.44  8.102  
0914  13.682       33.5153   267.20  8.097  
0929  13.462       33.5711   266.07  8.100  
0945  13.530       33.4793   265.68  8.098  
1000  13.537       33.5066   264.67  8.096  
1015  13.593       33.5166   263.22  8.096  
1030  13.600       33.5334   263.01  8.093  
1044  13.441       33.4973   260.84  8.097  
1059  13.439       33.5312   261.17  8.095  
1115  13.446       33.5677   260.18  8.094  
1130  13.430       33.4858   259.66  8.099  
1145  13.547       33.5271   257.58  8.090  
1200  13.566       33.5909   257.34  8.088  
1214  13.591       33.5015   257.63  8.090  
1229  13.618       33.5496   257.61  8.090  
1245  13.948       33.4569   256.71  8.086  
1300  13.960       33.5180   257.35  8.087  
1315  13.964       33.4913   259.56  8.088  
1330  14.050       33.5219   261.31  8.092  
1344  14.036       33.4683   261.98  8.093  
1359  13.934       33.5473   263.15  8.093  
1415  13.897       33.5212   263.54  8.093  
1430  13.728       33.5382   263.18  8.096  
1445  13.495       33.6265   262.48  8.100  
1500  13.625       33.5450   262.18  8.092  
1514  13.644       33.5321   262.31  8.089  
1529  13.532       33.4981   262.44  8.092  
1545  13.454       33.5979   261.87  8.094  
1600  13.327       33.5155   262.83  8.095  
1615  13.364       33.5024   260.24  8.096  
1630  13.268       33.5542   260.27  8.093  
1644  13.312       33.6051   260.05  8.091  
1659  13.394       33.5883   259.83  8.092  
1715  13.462       33.5832   260.62  8.093  
1730  13.356       33.5041   261.12  8.095  
1745  13.384       33.6198   260.56  8.096  
1800  13.926       33.5178   259.47  8.090  
1814  13.841       33.4776   260.86  8.094  
1829  13.842       33.5118   261.41  8.096  
1845  13.687       33.5474   260.99  8.096  
1900  13.906       33.5216   261.83  8.092  
1915  13.764       33.5601   262.27  8.097  
1930  13.645       33.5183   262.18  8.096  
1944  13.585       33.5829   262.42  8.094  
1959  13.523       33.4924   261.70  8.093  
2015  13.686       33.5150   261.35  8.086  
2030  13.715       33.5147   261.82  8.090  
2045  13.665       33.5689   261.60  8.093  
2100  13.661       33.5501   261.63  8.094  
2114  13.756       33.5220   261.75  8.094  
2129  13.580       33.5204   262.23  8.095  
2145  13.679       33.5344   262.99  8.095  
2200  13.521       33.4755   264.13  8.100  
2215  13.505       33.4962   264.78  8.099  
2230  13.620       33.5211   264.76  8.099  
2244  13.677       33.4755   264.44  8.097  
2259  13.794       33.5313   264.72  8.096  
2315  13.937       33.5421   265.83  8.093  
2330  13.772       33.5160   267.24  8.101  
2345  13.678       33.5384   268.43  8.102  


